player,pos,exp,hgt,team,conf,min,mpg,ast_to,usg,ortg,ts,year,ft_pct,two_pct,three_pct,rim_pct,mid_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,fg_pct,barthag,adj_o,adj_d,adj_t,wab,nc_elite_sos,nc_fut_sos,nc_cur_sos,ov_elite_sos,ov_fut_sos,ov_cur_sos,previous_team,previous_conference,is_transfer,previous_ortg,previous_drtg,previous_ts,previous_usg,previous_porpag,previous_adj_oe,previous_adj_de,previous_bpm,previous_team_adjo,previous_team_adjd,previous_barthag,change_ortg,change_drtg,change_ts,change_usg,change_porpag,change_adj_oe,change_adj_de,change_bpm,change_team_adjo,change_team_adjd,change_barthag
A'lahn Sumler,Combo G,So,6-4,Charleston Southern,BSth,73.6,29.5862,1.0217501,26.6,100.7,50.42,2024,0.718,0.454,0.339,0.5342,0.4018,1.99142,2.19164,107.345,110.63,109.921,128.521,1.53323,-0.301066,1.23216,2.2,10.1,14.5,12.1,1.0,1.9,20.1,2.6,0.39943342776204,0.177812,93.7285,107.078,66.8678,-14.16467992741,22.0,0.4368,0.4368,15.0,0.4335,0.4335,Northern Kentucky,Horz,True,84.8,106.689,43.09,18.0,-0.249941,79.75,107.356,-7.72948,102.593,101.353,0.534881,15.900000000000006,3.9410000000000025,7.329999999999998,8.600000000000001,2.241361,27.595,2.565000000000012,8.96164,-8.864500000000007,5.7250000000000085,-0.3570690000000001
A.J. Hoggard,Scoring PG,Sr,4-Jun,Vanderbilt,SEC,62.8,26.0219,2.08446,25.4,95.5,44.41,2025,0.734,0.39,0.271,0.4561,0.3077,1.56581,2.7384,107.188,107.928,101.334,139.16,-0.0376057,0.263306,0.225701,1.2,10.8,31.6,19.2,1.1,2.6,31.2,3.4,0.352159468,,,,,,10.0,0.3842,0.3842,36.0,0.6945,0.6945,Michigan St.,B10,True,106.9,99.9671,49.83,24.0,2.85511,117.391,92.5469,5.67272,113.329,93.484,0.901479,-11.400000000000006,7.960899999999995,-5.420000000000002,1.3999999999999986,-1.2893,-10.203000000000003,8.78710000000001,-5.447019,,,
A.J. Lopez,Wing G,Sr,5-Jun,Maine,AE,78.8,30.8147,0.76473331,22.4,108.6,59.99,2025,0.883,0.526,0.391,0.5748,0.4524,1.89669,2.33394,107.117,106.587,110.445,138.177,0.113398,-1.67345,-1.56005,0.6,8.0,7.9,13.6,0.5,1.5,32.3,2.1,0.473837209,,,,,,12.0,0.3282,0.3282,8.0,0.3019,0.3019,New Hampshire,AE,True,92.9,107.891,44.03,20.6,0.0928046,91.1206,110.397,-0.783243,96.5558,105.763,0.259731,15.699999999999989,-1.304000000000002,15.96,1.7999999999999972,1.8038854,15.996400000000008,0.04799999999998761,-0.7768069999999999,,,
A.J. McGinnis,Wing G,So,6-3,Cincinnati,Amer,2.7,4.875,0.33333333,29.1,82.1,45.0,2022,0.0,0.6,0.267,0.5,0.6667,0.0783905,0.448082,89.9161,99.099,101.572,5.96466,-2.9952,-1.37776,-4.37296,0.0,12.6,6.9,17.3,0.0,1.7,0.0,3.4,0.35,0.703505,104.428,96.8697,67.6512,-4.6240491700468,14.0,0.3904,0.3904,23.0,0.5701,0.5701,UNC Greensboro,SC,True,104.1,100.394,51.95,18.5,0.807497,100.692,100.301,-0.382574,101.912,97.5289,0.623765,-22.0,-1.2950000000000017,-6.950000000000003,10.600000000000001,-0.7291065,-10.775899999999993,1.2710000000000008,-3.990386,2.515999999999991,-0.6591999999999985,0.07974000000000003
A.J. Oliver II,Wing F,Sr,6-5,Detroit,Horz,56.0,25.7931,0.8076065,16.0,125.1,60.02,2023,0.88,0.57,0.366,0.6957,0.425,2.46549,1.31374,115.031,112.444,114.417,115.102,1.77272,-2.21933,-0.446616,8.5,13.2,5.4,13.3,0.2,1.6,26.7,3.3,0.459893048128342,0.396352,109.155,113.222,67.0415,-12.971945210134,22.0,0.5449,0.5449,12.0,0.4177,0.4177,Old Dominion,CUSA,True,82.9,105.254,40.28,11.8,-0.79212,72.5728,105.058,-4.68197,99.6037,101.878,0.435465,42.19999999999999,7.189999999999998,19.740000000000002,4.199999999999999,3.25761,42.458200000000005,9.358999999999995,4.235354,9.551299999999998,11.343999999999994,-0.03911300000000001
A.J. Staton-McCray,Wing G,Sr,4-Jun,Miami FL,ACC,54.1,21.8323,1.15380948,17.8,105.7,51.96,2025,0.829,0.485,0.323,0.6,0.2647,1.28659,1.36142,106.899,117.4,113.664,113.773,0.486597,-0.520436,-0.0338389,3.7,10.1,7.9,12.7,3.0,2.9,20.7,3.4,0.404040404,,,,,,20.0,0.4785,0.4785,27.0,0.6361,0.6361,Samford,SC,True,105.6,95.8936,54.99,25.2,1.75835,111.755,97.5537,2.08227,112.515,103.137,0.731222,0.10000000000000853,21.5064,-3.030000000000001,-7.399999999999999,-0.4717600000000002,-4.8559999999999945,16.110299999999995,-2.1161089,,,
A.J. Wills,Scoring PG,So,2-Jun,Wyoming,MWC,43.3,18.4833,1.44118947,16.5,97.8,52.59,2025,0.706,0.377,0.418,0.5,0.2727,0.316262,1.38287,94.7022,113.244,110.253,68.2122,-2.51093,-1.04257,-3.55349,0.9,5.2,16.6,23.4,0.4,0.8,29.3,3.3,0.396551724,,,,,,17.0,0.4009,0.4009,22.0,0.5681,0.5681,Holy Cross,Pat,True,101.9,119.235,48.9,19.1,0.501878,97.8353,126.29,-5.07707,99.5347,121.094,0.0949477,-4.1000000000000085,-5.991,3.690000000000005,-2.6000000000000014,-0.18561600000000006,-3.133099999999999,-16.037000000000006,1.52358,,,
AD Diedhiou,C,Jr,6-11,Louisiana Monroe,SB,41.4,17.0,1.21047008,12.6,85.1,36.05,2024,0.324,0.365,0.0,0.413,0.2857,-0.73616,1.11858,76.2277,109.779,111.813,80.294,-4.00017,-0.565664,-4.56583,10.4,13.0,8.0,17.9,3.3,1.6,45.9,5.1,0.364864864864865,0.241371,100.023,110.496,67.1434,-13.472508558862,18.0,0.4048,0.4048,14.0,0.4308,0.4308,UAB,CUSA,True,127.2,108.13,50.0,9.9,0.145558,106.372,113.618,-7.51817,111.821,99.115,0.800125,-42.10000000000001,1.649000000000001,-13.950000000000003,2.6999999999999993,-0.881718,-30.1443,-1.8049999999999926,2.9523399999999995,-11.798000000000002,11.381,-0.558754
AJ Braun,PF/C,Sr,9-Jun,Cal Baptist,WAC,44.1,19.6759,0.3845925,23.7,105.0,55.08,2025,0.61,0.529,0.429,0.5548,0.4063,1.42888,1.70882,110.978,103.573,106.427,96.7891,-0.591093,-0.751756,-1.34285,10.2,16.2,5.8,17.1,1.6,1.1,39.7,4.3,0.525773196,,,,,,15.0,0.497,0.497,12.0,0.4506,0.4506,Wright St.,Horz,True,120.2,112.723,68.21,20.0,2.61438,118.144,114.643,0.0625374,115.807,113.683,0.553011,-15.200000000000003,-9.150000000000006,-13.129999999999995,3.6999999999999993,-1.1855000000000002,-7.166000000000011,-8.215999999999994,-1.4053874000000002,,,
AJ Ferguson,Wing G,Sr,6-Jun,Murray St.,MVC,86.9,35.3394,0.77962977,17.5,104.9,56.14,2025,0.691,0.519,0.356,0.5935,0.2927,1.44375,3.26047,101.749,105.309,104.748,188.652,-0.718526,0.760554,0.0420279,4.4,16.0,7.3,17.7,1.5,1.7,46.6,3.5,0.454545455,,,,,,14.0,0.4709,0.4709,15.0,0.5196,0.5196,Southern Illinois,MVC,True,107.0,104.134,57.76,18.3,1.57653,105.969,103.377,-0.223859,108.814,103.58,0.638052,-2.0999999999999943,1.1749999999999972,-1.6199999999999974,-0.8000000000000007,-0.1327799999999999,-4.219999999999999,1.3710000000000093,0.2658869,,,
